# Time (s), Lath thickness (um)
4.994039999999998480e-01,3.295454085214513107e-01
4.995443999999998330e-01,3.295454193599869352e-01
4.996847999999998180e-01,3.295454301842065115e-01
4.998251999999998030e-01,3.295454409941261931e-01
4.999655999999997880e-01,3.295454517897620228e-01
5.000200000000000200e-01,3.295454559705436326e-01
5.001602000000000547e-01,3.295454667313285069e-01
5.003004000000000895e-01,3.295454774781783613e-01
5.004406000000001242e-01,3.295454882111086836e-01
5.005808000000001590e-01,3.295454989301347948e-01
5.007210000000001937e-01,3.295455096352720714e-01
5.008612000000002284e-01,3.295455203265358346e-01
5.010014000000002632e-01,3.295455310039414054e-01
5.011416000000002979e-01,3.295455416675041049e-01
5.012818000000003327e-01,3.295455523172393097e-01
5.014220000000003674e-01,3.295455629531622299e-01
5.015622000000004022e-01,3.295455735752881310e-01
5.017024000000004369e-01,3.295455841836323341e-01
5.018426000000004716e-01,3.295455947782099937e-01
5.019828000000005064e-01,3.295456053590364309e-01
5.020299999999999763e-01,3.295456089196401872e-01
5.021704000000000168e-01,3.295456194975285857e-01
5.023108000000000573e-01,3.295456300620321910e-01
5.024512000000000977e-01,3.295456406131654914e-01
5.025916000000001382e-01,3.295456511509428643e-01
5.027320000000001787e-01,3.295456616753787427e-01
5.028724000000002192e-01,3.295456721864875038e-01
5.030128000000002597e-01,3.295456826842835807e-01
5.031532000000003002e-01,3.295456931687813507e-01
5.032936000000003407e-01,3.295457036399951911e-01
5.034340000000003812e-01,3.295457140979394239e-01
5.035744000000004217e-01,3.295457245426283710e-01
5.037148000000004622e-01,3.295457349740764097e-01
5.038552000000005027e-01,3.295457453922978619e-01
5.039956000000005432e-01,3.295457557973069940e-01
5.040499999999999980e-01,3.295457598268953792e-01
5.041889999999999983e-01,3.295457701099420156e-01
5.043279999999999985e-01,3.295457803798585994e-01
5.044669999999999987e-01,3.295457906366593970e-01
5.046059999999999990e-01,3.295458008803587302e-01
5.047449999999999992e-01,3.295458111109708654e-01
5.048839999999999995e-01,3.295458213285100690e-01
5.050229999999999997e-01,3.295458315329905519e-01
5.051619999999999999e-01,3.295458417244265803e-01
5.053010000000000002e-01,3.295458519028323652e-01
5.054400000000000004e-01,3.295458620682221729e-01
5.055790000000000006e-01,3.295458722206101032e-01
5.057180000000000009e-01,3.295458823600104226e-01
5.058570000000000011e-01,3.295458924864372863e-01
5.059960000000000013e-01,3.295459025999047942e-01
5.060000000000000053e-01,3.295459028909291099e-01
5.061402000000000401e-01,3.295459130787334878e-01
5.062804000000000748e-01,3.295459232539534322e-01
5.064206000000001096e-01,3.295459334166021548e-01
5.065608000000001443e-01,3.295459435666929782e-01
5.067010000000001790e-01,3.295459537042391140e-01
5.068412000000002138e-01,3.295459638292537741e-01
5.069814000000002485e-01,3.295459739417501699e-01
5.071216000000002833e-01,3.295459840417415132e-01
5.072618000000003180e-01,3.295459941292409600e-01
5.074020000000003527e-01,3.295460042042617776e-01
5.075422000000003875e-01,3.295460142668170667e-01
5.076824000000004222e-01,3.295460243169200387e-01
5.078226000000004570e-01,3.295460343545837945e-01
5.079628000000004917e-01,3.295460443798214900e-01
5.080099999999999616e-01,3.295460477535297472e-01
5.081504000000000021e-01,3.295460577766060051e-01
5.082908000000000426e-01,3.295460677874187394e-01
5.084312000000000831e-01,3.295460777859807178e-01
5.085716000000001236e-01,3.295460877723047632e-01
5.087120000000001641e-01,3.295460977464036434e-01
5.088524000000002045e-01,3.295461077082901258e-01
5.089928000000002450e-01,3.295461176579769780e-01
5.091332000000002855e-01,3.295461275954769675e-01
5.092736000000003260e-01,3.295461375208028065e-01
5.094140000000003665e-01,3.295461474339672070e-01
5.095544000000004070e-01,3.295461573349829365e-01
5.096948000000004475e-01,3.295461672238626516e-01
5.098352000000004880e-01,3.295461771006190643e-01
5.099756000000005285e-01,3.295461869652648867e-01
5.100299999999999834e-01,3.295461907856469530e-01
5.101702000000000181e-01,3.295462006194790905e-01
5.103104000000000529e-01,3.295462104412447135e-01
5.104506000000000876e-01,3.295462202509565341e-01
5.105908000000001223e-01,3.295462300486270979e-01
5.107310000000001571e-01,3.295462398342690613e-01
5.108712000000001918e-01,3.295462496078950254e-01
5.110114000000002266e-01,3.295462593695175357e-01
5.111516000000002613e-01,3.295462691191492488e-01
5.112918000000002960e-01,3.295462788568027102e-01
5.114320000000003308e-01,3.295462885824904653e-01
5.115722000000003655e-01,3.295462982962250598e-01
5.117124000000004003e-01,3.295463079980190391e-01
5.118526000000004350e-01,3.295463176878850042e-01
5.119928000000004698e-01,3.295463273658353898e-01
5.120400000000000507e-01,3.295463306226830147e-01
5.121790000000000509e-01,3.295463402017510535e-01
5.123180000000000511e-01,3.295463497687596277e-01
5.124570000000000514e-01,3.295463593237217270e-01
5.125960000000000516e-01,3.295463688666502855e-01
5.127350000000000518e-01,3.295463783975582372e-01
5.128740000000000521e-01,3.295463879164585164e-01
5.130130000000000523e-01,3.295463974233640569e-01
5.131520000000000525e-01,3.295464069182877376e-01
5.132910000000000528e-01,3.295464164012424368e-01
5.134300000000000530e-01,3.295464258722410889e-01
5.135690000000000532e-01,3.295464353312965167e-01
5.137080000000000535e-01,3.295464447784215989e-01
5.138470000000000537e-01,3.295464542136291586e-01
5.139860000000000539e-01,3.295464636369320743e-01
5.139899999999999469e-01,3.295464639080963876e-01
5.141303999999999874e-01,3.295464734142040109e-01
5.142708000000000279e-01,3.295464829085636427e-01
5.144112000000000684e-01,3.295464923911876620e-01
5.145516000000001089e-01,3.295465018620884479e-01
5.146920000000001494e-01,3.295465113212783792e-01
5.148324000000001899e-01,3.295465207687698350e-01
5.149728000000002304e-01,3.295465302045751943e-01
5.151132000000002709e-01,3.295465396287067250e-01
5.152536000000003114e-01,3.295465490411768061e-01
5.153940000000003518e-01,3.295465584419978167e-01
5.155344000000003923e-01,3.295465678311820246e-01
5.156748000000004328e-01,3.295465772087416978e-01
5.158152000000004733e-01,3.295465865746891598e-01
5.159556000000005138e-01,3.295465959290366786e-01
5.160099999999999687e-01,3.295465995517729563e-01
5.161502000000000034e-01,3.295466088766482171e-01
5.162904000000000382e-01,3.295466181898738522e-01
5.164306000000000729e-01,3.295466274914622407e-01
5.165708000000001077e-01,3.295466367814258724e-01
5.167110000000001424e-01,3.295466460597771263e-01
5.168512000000001771e-01,3.295466553265283816e-01
5.169914000000002119e-01,3.295466645816920170e-01
5.171316000000002466e-01,3.295466738252804673e-01
5.172718000000002814e-01,3.295466830573060557e-01
5.174120000000003161e-01,3.295466922777811059e-01
5.175522000000003509e-01,3.295467014867180522e-01
5.176924000000003856e-01,3.295467106841291627e-01
5.178326000000004203e-01,3.295467198700267608e-01
5.179728000000004551e-01,3.295467290444231701e-01
5.180200000000000360e-01,3.295467321317903653e-01
5.181604000000000765e-01,3.295467413039001592e-01
5.183008000000001170e-01,3.295467504645228085e-01
5.184412000000001575e-01,3.295467596136706367e-01
5.185816000000001980e-01,3.295467687513559119e-01
5.187220000000002385e-01,3.295467778775909018e-01
5.188624000000002789e-01,3.295467869923878745e-01
5.190028000000003194e-01,3.295467960957590425e-01
5.191432000000003599e-01,3.295468051877166737e-01
5.192836000000004004e-01,3.295468142682729806e-01
5.194240000000004409e-01,3.295468233374401756e-01
5.195644000000004814e-01,3.295468323952304712e-01
5.197048000000005219e-01,3.295468414416560243e-01
5.198452000000005624e-01,3.295468504767291029e-01
5.199856000000006029e-01,3.295468595004618084e-01
5.200399999999999467e-01,3.295468629951355810e-01
5.201789999999999470e-01,3.295468719130315582e-01
5.203179999999999472e-01,3.295468808194306765e-01
5.204569999999999474e-01,3.295468897143455922e-01
5.205959999999999477e-01,3.295468985977889620e-01
5.207349999999999479e-01,3.295469074697734424e-01
5.208739999999999482e-01,3.295469163303115789e-01
5.210129999999999484e-01,3.295469251794160837e-01
5.211519999999999486e-01,3.295469340170995576e-01
5.212909999999999489e-01,3.295469428433746018e-01
5.214299999999999491e-01,3.295469516582537617e-01
5.215689999999999493e-01,3.295469604617496384e-01
5.217079999999999496e-01,3.295469692538747775e-01
5.218469999999999498e-01,3.295469780346417243e-01
5.219859999999999500e-01,3.295469868040630246e-01
5.219899999999999540e-01,3.295469870564111114e-01
5.221301999999999888e-01,3.295469958900428820e-01
5.222704000000000235e-01,3.295470047125190760e-01
5.224106000000000583e-01,3.295470135238517950e-01
5.225508000000000930e-01,3.295470223240529739e-01
5.226910000000001277e-01,3.295470311131347141e-01
5.228312000000001625e-01,3.295470398911090060e-01
5.229714000000001972e-01,3.295470486579877845e-01
5.231116000000002320e-01,3.295470574137830955e-01
5.232518000000002667e-01,3.295470661585068739e-01
5.233920000000003014e-01,3.295470748921711102e-01
5.235322000000003362e-01,3.295470836147877391e-01
5.236724000000003709e-01,3.295470923263687513e-01
5.238126000000004057e-01,3.295471010269260814e-01
5.239528000000004404e-01,3.295471097164716090e-01
5.240000000000000213e-01,3.295471126406633866e-01
5.241404000000000618e-01,3.295471213279647094e-01
5.242808000000001023e-01,3.295471300043474883e-01
5.244212000000001428e-01,3.295471386698234917e-01
5.245616000000001833e-01,3.295471473244043770e-01
5.247020000000002238e-01,3.295471559681018570e-01
5.248424000000002643e-01,3.295471646009276445e-01
5.249828000000003048e-01,3.295471732228934525e-01
5.251232000000003453e-01,3.295471818340109937e-01
5.252636000000003857e-01,3.295471904342918701e-01
5.254040000000004262e-01,3.295471990237477389e-01
5.255444000000004667e-01,3.295472076023903130e-01
5.256848000000005072e-01,3.295472161702311942e-01
5.258252000000005477e-01,3.295472247272819843e-01
5.259656000000005882e-01,3.295472332735543408e-01
5.260200000000000431e-01,3.295472365833135298e-01
5.261602000000000778e-01,3.295472451025213689e-01
5.263004000000001126e-01,3.295472536110176098e-01
5.264406000000001473e-01,3.295472621088137433e-01
5.265808000000001821e-01,3.295472705959213156e-01
5.267210000000002168e-01,3.295472790723517620e-01
5.268612000000002515e-01,3.295472875381166289e-01
5.270014000000002863e-01,3.295472959932273516e-01
5.271416000000003210e-01,3.295473044376954208e-01
5.272818000000003558e-01,3.295473128715322719e-01
5.274220000000003905e-01,3.295473212947493957e-01
5.275622000000004252e-01,3.295473297073581720e-01
5.277024000000004600e-01,3.295473381093700360e-01
5.278426000000004947e-01,3.295473465007964231e-01
5.279828000000005295e-01,3.295473548816487130e-01
5.280299999999999994e-01,3.295473577019648048e-01
5.281704000000000399e-01,3.295473660807524685e-01
5.283108000000000803e-01,3.295473744490934886e-01
5.284512000000001208e-01,3.295473828069990230e-01
5.285916000000001613e-01,3.295473911544801737e-01
5.287320000000002018e-01,3.295473994915480431e-01
5.288724000000002423e-01,3.295474078182137889e-01
5.290128000000002828e-01,3.295474161344885133e-01
5.291532000000003233e-01,3.295474244403832631e-01
5.292936000000003638e-01,3.295474327359091404e-01
5.294340000000004043e-01,3.295474410210772476e-01
5.295744000000004448e-01,3.295474492958985757e-01
5.297148000000004853e-01,3.295474575603842271e-01
5.298552000000005258e-01,3.295474658145452485e-01
5.299956000000005663e-01,3.295474740583926310e-01
5.300500000000000211e-01,3.295474772510426642e-01
5.301890000000000214e-01,3.295474853983760277e-01
5.303280000000000216e-01,3.295474935353636114e-01
5.304670000000000218e-01,3.295475016620166286e-01
5.306060000000000221e-01,3.295475097783463481e-01
5.307450000000000223e-01,3.295475178843639275e-01
5.308840000000000225e-01,3.295475259800806356e-01
5.310230000000000228e-01,3.295475340655076302e-01
5.311620000000000230e-01,3.295475421406561245e-01
5.313010000000000232e-01,3.295475502055372763e-01
5.314400000000000235e-01,3.295475582601622433e-01
5.315790000000000237e-01,3.295475663045421832e-01
5.317180000000000240e-01,3.295475743386883094e-01
5.318570000000000242e-01,3.295475823626117240e-01
5.319960000000000244e-01,3.295475903763235292e-01
5.320000000000000284e-01,3.295475906069255112e-01
5.321402000000000632e-01,3.295475986795706191e-01
5.322804000000000979e-01,3.295476067422725697e-01
5.324206000000001326e-01,3.295476147950419099e-01
5.325608000000001674e-01,3.295476228378890760e-01
5.327010000000002021e-01,3.295476308708245039e-01
5.328412000000002369e-01,3.295476388938586298e-01
5.329814000000002716e-01,3.295476469070019454e-01
5.331216000000003064e-01,3.295476549102648867e-01
5.332618000000003411e-01,3.295476629036578897e-01
5.334020000000003758e-01,3.295476708871913352e-01
5.335422000000004106e-01,3.295476788608756036e-01
5.336824000000004453e-01,3.295476868247211311e-01
5.338226000000004801e-01,3.295476947787382982e-01
5.339628000000005148e-01,3.295477027229375411e-01
5.340099999999999847e-01,3.295477053963348224e-01
5.341504000000000252e-01,3.295477133389034252e-01
5.342908000000000657e-01,3.295477212718265214e-01
5.344312000000001062e-01,3.295477291951141030e-01
5.345716000000001467e-01,3.295477371087762175e-01
5.347120000000001871e-01,3.295477450128228569e-01
5.348524000000002276e-01,3.295477529072640133e-01
5.349928000000002681e-01,3.295477607921096785e-01
5.351332000000003086e-01,3.295477686673698448e-01
5.352736000000003491e-01,3.295477765330544484e-01
5.354140000000003896e-01,3.295477843891734815e-01
5.355544000000004301e-01,3.295477922357369360e-01
5.356948000000004706e-01,3.295478000727547485e-01
5.358352000000005111e-01,3.295478079002367999e-01
5.359756000000005516e-01,3.295478157181930823e-01
5.360300000000000065e-01,3.295478187459436326e-01
5.361702000000000412e-01,3.295478265396825091e-01
5.363104000000000759e-01,3.295478343240333952e-01
5.364506000000001107e-01,3.295478420990059498e-01
5.365908000000001454e-01,3.295478498646098320e-01
5.367310000000001802e-01,3.295478576208547006e-01
5.368712000000002149e-01,3.295478653677502145e-01
5.370114000000002497e-01,3.295478731053060328e-01
5.371516000000002844e-01,3.295478808335318144e-01
5.372918000000003191e-01,3.295478885524371626e-01
5.374320000000003539e-01,3.295478962620317365e-01
5.375722000000003886e-01,3.295479039623250839e-01
5.377124000000004234e-01,3.295479116533268082e-01
5.378526000000004581e-01,3.295479193350465685e-01
5.379928000000004928e-01,3.295479270074939682e-01
5.380399999999999627e-01,3.295479295894645499e-01
5.381789999999999630e-01,3.295479371839043492e-01
5.383179999999999632e-01,3.295479447691090358e-01
5.384569999999999634e-01,3.295479523450882131e-01
5.385959999999999637e-01,3.295479599118514846e-01
5.387349999999999639e-01,3.295479674694085093e-01
5.388739999999999641e-01,3.295479750177687794e-01
5.390129999999999644e-01,3.295479825569419541e-01
5.391519999999999646e-01,3.295479900869375811e-01
5.392909999999999648e-01,3.295479976077652084e-01
5.394299999999999651e-01,3.295480051194343840e-01
5.395689999999999653e-01,3.295480126219547112e-01
5.397079999999999655e-01,3.295480201153356825e-01
5.398469999999999658e-01,3.295480275995868458e-01
5.399859999999999660e-01,3.295480350747177489e-01
5.399899999999999700e-01,3.295480352898219056e-01
5.401304000000000105e-01,3.295480428311305943e-01
